"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta2","Stellako","1.1811291620135","0.777459571762514","0.0669171003892971","0.563415444800323","1.07028510509282","1.67114174973743","2.95233083374962","1.00109196199452","8500"
"beta3","Stellako","4.95804379601551","1.22196974981386","2.49059207665561","4.15762821132199","4.95962024887263","5.77167293337803","7.3458386611359","1.00148541451202","3600"
"deviance","Stellako","-3.83802140151651","3.55362813471194","-8.75911880040614","-6.47286114905727","-4.46992549356075","-1.88534441287309","4.67552614386852","1.00080611385048","10000"
"sigma","Stellako","0.803429790178669","0.073057769977405","0.675674473784299","0.751711517743547","0.798596953910231","0.848848257561905","0.960466299812409","1.00103686881599","10000"
"alpha","Bowron","1.67592140861051","0.221695378060138","1.27776094013237","1.52224603786404","1.66467589477659","1.81486855306109","2.14784084095351","1.00090770557672","10000"
"beta0","Bowron","27.5340251560347","11.9228865601806","10.5013845037876","18.1642171048702","25.7927618177063","34.9340718897525","55.0648461174947","1.00095174523302","10000"
"beta1","Bowron","11.068482689597","9.12657427975917","0.385661559797556","3.97301253098142","8.83097623561121","15.9858459574829","33.5536166358683","1.00085379358904","10000"
"beta2","Bowron","11.827218806319","9.40481511012308","0.427120301635274","4.4204878980723","9.62687524542572","17.043951032115","34.7572934315153","1.00086023989652","10000"
"beta3","Bowron","8.66082987414902","7.57355281379396","0.254521362095438","2.87402632902562","6.64308361168542","12.3335560871423","28.2287421369103","1.00082785947792","10000"
"deviance","Bowron","-328.908921195266","3.77963573296435","-334.286366963188","-331.698711147113","-329.588279265442","-326.817380435486","-319.744459556315","1.00090098151293","10000"
"sigma","Bowron","1.10592914356155","0.107158212526589","0.922312773506652","1.03047186727264","1.09819005714866","1.17211294687468","1.33512438663433","1.00088170812856","10000"
"alpha","Raft","1.67626223066691","0.201877920580346","1.29152989019111","1.53938574734978","1.67352498853117","1.80937755203352","2.07837407477404","1.00088872970844","10000"
"beta0","Raft","23.0912394565323","10.4071927699735","6.464254030646","15.1775043013549","22.1517478380625","29.8603298033307","45.5774495139442","1.000868086616","10000"
"beta1","Raft","10.0823152110237","7.66627066258531","0.429053603907716","4.05457371028629","8.46193928519723","14.4871642303494","28.8108437474748","1.00117926242529","6600"
"beta2","Raft","18.5437840597714","10.3698486269543","1.55326248544026","10.6559576980991","17.8099199143021","25.4781215922974","40.7186648664126","1.00118750877672","8200"
"beta3","Raft","13.0202767944808","8.77127609493466","0.65787968707119","6.1093715826609","11.6475040644467","18.4417559661603","33.1250948668086","1.00114204596832","7300"
"deviance","Raft","-327.031555811505","3.23494261093014","-331.534030753136","-329.388335257066","-327.571048315154","-325.342699957332","-319.150957782513","1.00124531007196","5600"
"sigma","Raft","1.01135183925059","0.0962821090411221","0.84445808803739","0.943805035808302","1.00384777053575","1.07225021976688","1.21943499774936","1.00088672026823","10000"
"alpha","Quesnel","1.81605586392923","0.170889784324611","1.48050745907577","1.70261228692601","1.81429274219859","1.92876623344407","2.15708365892856","1.00130989508482","4900"
"beta0","Quesnel","0.311757498309547","0.140884238116626","0.108136296586819","0.199796319123849","0.291913269033005","0.405307173486236","0.627917857522115","1.00131534464726","4800"
"beta1","Quesnel","0.331157820070886","0.170176552859678","0.0347490807517626","0.20563150501762","0.32195886565933","0.444543825406732","0.68864357834414","1.00139437195886","4200"
"beta2","Quesnel","0.330972436570818","0.173806234422993","0.0362121356872834","0.20198898360942","0.319255438998457","0.447065434794165","0.696920271247416","1.0018415149319","9000"
"beta3","Quesnel","0.507403467323441","0.184518916057782","0.145330306512211","0.380609127056216","0.507854001992169","0.633007868838299","0.873195287177569","1.00096278498683","10000"
"deviance","Quesnel","-154.3226809361","3.089797083636","-158.558304577677","-156.561849472579","-154.914169203287","-152.732592064403","-146.605620169913","1.00110063651143","8300"
"sigma","Quesnel","1.0351599296257","0.0975493379396626","0.86587711759261","0.966587816089021","1.02789540898428","1.09652238273456","1.24908655049002","1.00191252633011","2200"
